"Sex","Frequency","FrequencyCDI1","Iconicity","IconicityCDI1","NeighborhoodDensity","NeighborhoodDensityCDI1","Sign","CaregiverHearingStatus","Age","EncryptedID","EncryptedParticipant","ComprehendsAndProduces","inCDI1"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",35,"ID_39","Participant_16",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",11,"ID_1","Participant_196",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",23,"ID_70","Participant_173",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",32,"ID_223","Participant_147",NA,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",51,"ID_287","Participant_130",TRUE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",13,"ID_170","Participant_120",FALSE,"no"
"Non Binary",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",55,"ID_5","Participant_197",NA,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",12,"ID_272","Participant_105",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",54,"ID_268","Participant_88",TRUE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",48,"ID_76","Participant_230",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",39,"ID_240","Participant_164",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",22,"ID_246","Participant_16",NA,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",24,"ID_217","Participant_202",TRUE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",30,"ID_125","Participant_125",NA,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",35,"ID_229","Participant_118",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",26,"ID_235","Participant_22",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",28,"ID_94","Participant_158",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",18,"ID_16","Participant_221",TRUE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",35,"ID_244","Participant_67",NA,"no"
"",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",35,"ID_142","Participant_75",NA,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",21,"ID_30","Participant_143",NA,"no"
"",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",18,"ID_6","Participant_232",NA,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",29,"ID_234","Participant_114",NA,"no"
"",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",19,"ID_215","Participant_117",TRUE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",30,"ID_258","Participant_192",TRUE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",27,"ID_110","Participant_97",TRUE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",29,"ID_35","Participant_134",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",35,"ID_140","Participant_203",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",18,"ID_41","Participant_108",TRUE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",26,"ID_153","Participant_121",TRUE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",35,"ID_127","Participant_181",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",36,"ID_121","Participant_3",NA,"no"
"",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",6,"ID_7","Participant_226",FALSE,"no"
"",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",23,"ID_74","Participant_137",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",19,"ID_86","Participant_16",FALSE,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",18,"ID_60","Participant_147",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",19,"ID_52","Participant_66",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",37,"ID_159","Participant_164",NA,"no"
"Female",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",33,"ID_25","Participant_179",NA,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",30,"ID_34","Participant_156",FALSE,"no"
"Male",0.369,NA,-0.302,NA,5,NA,"ask","Deaf Caregivers",34,"ID_112","Participant_122",NA,"no"
