"Sex","Frequency","Iconicity","NeighborhoodDensity","Sign","CaregiverHearingStatus","Age","EncryptedID","EncryptedParticipant","ComprehendsAndProduces","Secondary.Caregiver.Deaf.HoH"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",35,"ID_39","Participant_16",NA,"Yes"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",15,"ID_290","Participant_47",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",11,"ID_1","Participant_196",FALSE,"Yes"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",28,"ID_263","Participant_212",NA,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",32,"ID_67","Participant_205",TRUE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",34,"ID_266","Participant_84",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",8,"ID_75","Participant_183",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",27,"ID_189","Participant_38",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",52,"ID_122","Participant_10",NA,"No"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",41,"ID_271","Participant_57",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",34,"ID_259","Participant_34",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",31,"ID_220","Participant_153",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",25,"ID_232","Participant_80",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",17,"ID_108","Participant_9",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",18,"ID_253","Participant_19",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",38,"ID_59","Participant_43",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",16,"ID_84","Participant_30",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",43,"ID_93","Participant_62",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",23,"ID_70","Participant_173",FALSE,"Yes"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",21,"ID_104","Participant_126",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",26,"ID_77","Participant_46",FALSE,"No"
